ea,skema,min_prob,total_cycles,pb_cancelled,pb_nofill,l0,l1,l2,l3,l4,l5,l6,l0_pct,l6_pct,deepest,mean_dd,median_dd,p95_dd,max_dd,resolved_pct,unresolved,avg_bars,est_profit
XAU_Phase1,A (prob 0.35),0.35,6095,0,0,3824,1264,458,228,118,63,140,62.739950779327316,2.2969647251845777,6,172.31315012305166,1.9100000000003092,123.22999999999968,78631.98999999999,99.83593109105826,10,6.58884331419196,18255.0
XAU_Phase1,B (prob 0.45),0.45,5642,0,0,3560,1156,432,205,99,54,136,63.098192130450194,2.410492733073378,6,200.70073200992562,1.8299999999999272,121.23349999999952,143648.37000000005,99.78730946472882,12,6.860510457284651,16890.0
XAU_Phase1,C (prob 0.55),0.55,2484,0,0,1700,483,143,67,32,17,42,68.43800322061192,1.6908212560386473,6,102.03483896940435,1.3849999999997635,67.52349999999515,43571.10000000002,99.9194847020934,2,5.247987117552335,7446.0
XAU_Phase1_Reversal,A (prob 0.35),0.35,5626,0,0,3173,1476,520,196,90,54,117,56.398862424457874,2.079630287948809,6,228.56861357980804,2.769999999999982,99.36249999999956,128462.97999999998,99.78670458585141,12,7.227337362246712,16842.0
XAU_Phase1_Reversal,B (prob 0.45),0.45,5311,0,0,2969,1403,490,194,79,57,119,55.90284315571456,2.240632649218603,6,240.4009678026737,2.9000000000005457,103.23499999999967,128462.97999999998,99.75522500470721,13,7.467520241009226,15894.0
XAU_Phase1_Reversal,C (prob 0.55),0.55,1275,0,0,648,344,122,61,32,20,48,50.8235294117647,3.7647058823529407,6,422.8503607843135,3.8300000000001546,340.8329999999871,112744.18999999994,99.68627450980392,4,10.510588235294117,3813.0
XAU_PullBack,A (prob 0.35),0.35,3078,6923,313,1747,674,332,134,65,46,80,56.757634827810264,2.599090318388564,6,209.22334906345776,2.8084345621998636,165.1172606021901,123717.26460496256,99.83755685510071,5,8.507797270955166,9219.0
XAU_PullBack,B (prob 0.45),0.45,3075,6934,298,1747,673,331,134,65,46,79,56.8130081300813,2.569105691056911,6,207.85258899958646,2.806022202799795,158.41577466326953,123717.26460496256,99.83739837398375,5,8.496260162601626,9210.0
XAU_PullBack,C (prob 0.55),0.55,3069,6936,296,1742,672,331,134,65,46,79,56.76115998696643,2.5741283805799933,6,208.25575816925476,2.8248530207997646,158.60444170952755,123717.26460496256,99.83708048224177,5,8.50374714890844,9192.0
XAU_PullBack_Reversal,A (prob 0.35),0.35,3371,7407,326,2340,635,207,68,40,20,61,69.4156036784337,1.809552061702759,6,155.9261214188906,1.3258501000000251,54.719357654598525,126623.20400671204,99.79234648472264,7,7.505191337881934,10092.0
XAU_PullBack_Reversal,B (prob 0.45),0.45,3367,7396,318,2336,635,207,68,40,20,61,69.37926937926939,1.8117018117018115,6,156.1246764620741,1.3280226898000365,54.770426033078365,126623.20400671204,99.7920997920998,7,7.501930501930502,10080.0
XAU_PullBack_Reversal,C (prob 0.55),0.55,3363,7402,316,2336,632,207,68,40,19,61,69.46179006839131,1.8138566755872734,6,156.16605805419812,1.3245552620001035,54.57091940701886,126623.20400671204,99.79185251263752,7,7.502824858757062,10068.0
