ea,skema,min_prob,total_cycles,pb_cancelled,pb_nofill,l0,l1,l2,l3,l4,l5,l6,l0_pct,l6_pct,deepest,mean_dd,median_dd,p95_dd,max_dd,resolved_pct,unresolved,avg_bars,est_profit
XAU_Phase1,A (prob 0.35),0.35,7583,0,0,4331,1883,719,301,139,63,147,57.114598443887644,1.9385467493076618,6,142.45301727548465,2.6400000000003274,99.43099999999832,124814.27000000005,99.85493867862324,11,6.458921271264671,22716.0
XAU_Phase1,B (prob 0.45),0.45,7461,0,0,4230,1904,695,289,138,59,146,56.694813027744274,1.9568422463476745,6,145.58350489210565,2.699999999999818,99.85999999999694,124236.42000000001,99.86596970915427,10,6.342045302238306,22353.0
XAU_Phase1,C (prob 0.55),0.55,2742,0,0,1614,679,238,105,47,16,43,58.86214442013129,1.5681983953318748,6,152.1147702407003,2.4200000000000728,73.74649999999991,70434.13999999996,99.81765134938001,5,6.137490882567469,8211.0
XAU_Phase1_Reversal,A (prob 0.35),0.35,7031,0,0,4505,1576,486,183,91,42,148,64.07338927606315,2.104963732043806,6,196.25262551557392,1.540000000000191,81.11499999999751,127321.25,99.74399089745413,18,7.048072820366946,21039.0
XAU_Phase1_Reversal,B (prob 0.45),0.45,6908,0,0,4431,1535,493,173,88,41,147,64.14302258251303,2.1279675738274464,6,198.91431673422122,1.5399999999999636,78.33500000000092,127321.25,99.7394325419803,18,7.056311522872033,20670.0
XAU_Phase1_Reversal,C (prob 0.55),0.55,1940,0,0,1168,480,150,47,33,22,40,60.20618556701031,2.0618556701030926,6,239.68860824742254,1.9900000000002365,106.72250000000416,50243.68000000002,99.69072164948454,6,8.15979381443299,5802.0
XAU_PullBack,A (prob 0.35),0.35,5159,7514,282,2718,1468,567,192,87,47,80,52.68462880403179,1.5506881178522969,6,116.3499766778038,3.514721905999977,76.31212327000254,124621.87015416799,99.86431478968792,7,7.2640046520643535,15456.0
XAU_PullBack,B (prob 0.45),0.45,5156,7500,282,2716,1468,566,192,87,47,80,52.676493405740885,1.5515903801396431,6,116.41230240902141,3.5150577413000974,76.3439405590027,124621.87015416799,99.86423584173778,7,7.263576415826222,15447.0
XAU_PullBack,C (prob 0.55),0.55,5154,7498,282,2715,1467,566,192,87,47,80,52.67753201396973,1.5521924718665114,6,116.45666997635439,3.5150577413000974,76.3651520850026,124621.87015416799,99.86418315871168,7,7.26581296080714,15441.0
XAU_PullBack_Reversal,A (prob 0.35),0.35,5736,8723,339,4383,900,238,84,39,21,71,76.41213389121339,1.2377963737796374,6,94.63585730273513,0.9489385293001078,28.713893548000783,54668.814006712084,99.87796373779638,7,6.064853556485356,17187.0
XAU_PullBack_Reversal,B (prob 0.45),0.45,5706,8669,331,4366,890,236,83,39,21,71,76.51594812478093,1.244304241149667,6,97.03467277542542,0.94207914719982,28.673852439201937,54668.814006712084,99.85979670522256,8,6.1093585699263935,17094.0
XAU_PullBack_Reversal,C (prob 0.55),0.55,5704,8668,330,4366,888,236,83,39,21,71,76.54277699859747,1.2447405329593269,6,97.06673344100466,0.940794679200053,28.6755729918414,54668.814006712084,99.85974754558204,8,6.111150070126227,17088.0
XAU_Phase1_DI,A (prob 0.35),0.35,5416,0,0,3385,1132,439,176,89,59,136,62.5,2.511078286558346,6,197.59736706056137,1.8050000000000637,125.62250000000074,123501.09000000001,99.79689807976366,11,6.355797636632201,16215.0
XAU_Phase1_DI,B (prob 0.45),0.45,4927,0,0,3058,1075,371,163,84,48,128,62.06616602394966,2.5979297747107775,6,214.7988552871931,1.8600000000001273,125.81000000000152,131677.35000000003,99.75644408362086,12,6.727217373655368,14745.0
XAU_Phase1_DI,C (prob 0.55),0.55,2354,0,0,1495,513,149,78,45,18,56,63.50892098555651,2.3789294817332203,6,121.52719626168238,1.9149999999999636,119.50899999999864,23695.600000000024,100.0,0,4.923534409515718,7062.0
